t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1,0,0,0,0,0,0
2,0,0,0.2,17,16,0
3,20,20,27.3,20,19,0
4,3,0,41.1,5,5,0
5,8,0,0.6,19,18,0
6,20,25,5.1,17,17,2
7,20,95,82.9,18,18,1
8,20,95,55.0,15,15,5
9,19,124,103.6,18,18,1
10,20,161,100.2,17,17,2
11,20,170,128.8,18,17,0
12,19,231,139.6,16,16,3
13,20,283,226.2,18,17,1
14,20,267,179.9,18,17,1
15,20,101,103.6,7,7,2
16,0,0,9.1,0,0,0
17,0,0,0.0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
