ts,t,java,k6,postgres,other,total,ncpu
1788596997088,0.2,0.00,0.00,0.00,4.44,4.44,8
1788596997290,0.4,0.05,0.00,0.00,1.93,1.98,8
1788596997492,0.6,0.00,0.00,0.00,2.08,2.08,8
1788596997693,0.8,0.00,0.00,0.00,1.94,1.94,8
1788596997894,1.0,0.00,0.00,0.00,1.99,1.99,8
1788596998098,1.2,0.25,0.00,0.00,3.88,4.12,8
1788596998300,1.4,1.79,0.00,0.10,2.68,4.56,8
1788596998502,1.6,3.56,0.00,0.10,1.73,5.38,8
1788596998704,1.8,4.07,0.00,0.35,2.33,6.74,8
1788596998906,2.0,3.96,0.00,0.20,1.09,5.25,8
1788596999112,2.2,3.83,0.19,0.29,1.31,5.62,8
1788596999314,2.4,3.96,0.20,0.45,0.00,4.41,8
1788596999516,2.6,3.96,0.15,0.50,0.00,4.51,8
1788596999718,2.8,3.81,0.30,0.05,0.20,4.36,8
1788596999920,3.0,4.15,0.35,0.25,1.53,6.27,8
1788597000127,3.2,3.97,0.44,0.34,1.07,5.81,8
1788597000328,3.4,3.47,0.35,0.15,2.98,6.95,8
1788597000530,3.6,3.81,0.30,0.20,2.72,7.02,8
1788597000734,3.8,2.94,0.34,0.29,2.16,5.74,8
1788597000937,4.0,2.27,0.99,0.25,1.09,4.60,8
1788597001140,4.3,3.34,0.54,0.20,0.49,4.57,8
1788597001342,4.5,3.92,0.50,0.25,0.40,5.07,8
1788597001544,4.7,3.22,0.59,0.49,0.00,4.21,8
1788597001745,4.9,3.82,0.64,0.45,0.05,4.96,8
1788597001947,5.1,2.28,0.84,0.35,1.49,4.96,8
1788597002153,5.3,2.53,0.78,0.53,1.12,4.96,8
1788597002355,5.5,2.22,1.23,0.35,1.33,5.14,8
1788597002557,5.7,2.57,0.64,0.54,1.29,5.05,8
1788597002759,5.9,1.78,0.64,0.40,1.14,3.96,8
1788597002960,6.1,1.94,0.99,0.55,0.45,3.92,8
1788597003164,6.3,2.40,0.88,0.54,0.25,4.07,8
1788597003372,6.5,2.12,0.58,0.67,0.00,2.94,8
1788597003573,6.7,1.89,0.89,0.40,0.05,3.23,8
1788597003775,6.9,2.68,1.19,0.59,0.25,4.71,8
1788597003978,7.1,2.07,0.89,0.54,1.04,4.55,8
1788597004181,7.3,1.67,0.74,0.29,1.18,3.88,8
1788597004384,7.5,2.57,0.64,0.54,1.73,5.48,8
1788597004586,7.7,2.13,1.34,0.49,0.49,4.45,8
1788597004787,7.9,2.78,0.70,0.65,0.15,4.27,8
1788597004989,8.1,1.98,0.99,0.50,0.74,4.21,8
1788597005193,8.3,2.11,0.93,0.64,0.10,3.78,8
1788597005394,8.5,2.14,1.44,0.79,0.00,3.68,8
1788597005596,8.7,3.17,0.74,0.35,1.24,5.49,8
1788597005798,8.9,3.66,0.79,0.35,0.84,5.64,8
1788597006002,9.1,3.04,1.18,0.88,1.32,6.42,8
1788597006207,9.3,3.16,1.17,0.58,0.78,5.70,8
1788597006409,9.5,3.22,0.89,0.69,1.39,6.19,8
1788597006612,9.7,3.16,1.63,0.64,0.00,4.99,8
1788597006813,9.9,3.43,0.94,0.89,0.00,5.02,8
1788597007015,10.1,3.57,1.24,0.74,0.74,6.29,8
1788597007220,10.3,3.16,1.27,0.88,0.00,5.01,8
1788597007422,10.5,2.48,0.99,0.50,0.00,3.71,8
1788597007624,10.7,2.97,1.58,0.74,0.10,5.40,8
1788597007826,10.9,3.37,0.94,0.59,0.69,5.60,8
1788597008029,11.1,3.16,1.38,0.99,1.53,7.05,8
1788597008238,11.4,2.44,1.34,1.01,1.29,6.08,8
1788597008440,11.6,2.43,1.73,0.74,0.64,5.54,8
1788597008642,11.8,2.68,1.04,0.84,1.24,5.80,8
1788597008847,12.0,3.36,0.97,0.58,0.10,5.02,8
1788597009048,12.2,2.58,1.59,1.04,0.50,5.70,8
1788597009256,12.4,2.31,1.97,0.91,0.96,6.16,8
1788597009458,12.6,2.38,1.04,0.79,0.49,4.70,8
1788597009660,12.8,2.88,1.09,0.94,0.50,5.41,8
1788597009861,13.0,2.68,0.99,0.79,1.14,5.61,8
1788597010063,13.2,2.47,2.08,0.79,1.39,6.73,8
1788597010276,13.4,2.78,1.74,1.22,0.80,6.54,8
1788597010478,13.6,2.96,1.19,0.94,0.00,4.99,8
1788597010681,13.8,2.82,0.99,0.89,0.00,4.10,8
1788597010882,14.0,2.93,1.19,0.94,0.40,5.46,8
1788597011085,14.2,2.81,2.52,0.99,0.00,6.32,8
1788597011289,14.4,3.48,1.42,0.83,0.20,5.92,8
1788597011491,14.6,3.37,1.29,1.04,1.44,7.13,8
1788597011693,14.8,2.67,1.98,0.84,0.84,6.34,8
1788597011895,15.0,2.82,1.14,1.14,1.29,6.38,8
1788597012097,15.2,3.32,1.73,1.04,1.49,7.58,8
1788597012305,15.4,2.74,2.30,0.77,1.25,7.06,8
1788597012507,15.6,3.52,1.19,1.04,1.49,7.23,8
1788597012709,15.8,3.27,1.14,1.09,1.83,7.33,8
1788597012911,16.0,3.02,1.24,1.04,0.35,5.64,8
1788597013113,16.2,2.92,2.72,0.89,0.00,6.19,8
1788597013320,16.4,3.09,1.50,0.92,0.63,6.14,8
1788597013522,16.6,2.87,1.98,0.99,0.15,5.99,8
1788597013724,16.8,3.12,1.19,1.48,1.34,7.13,8
1788597013947,17.1,3.32,1.21,0.94,1.30,6.78,8
1788597014152,17.3,3.28,2.74,0.98,0.39,7.39,8
1788597014358,17.5,3.59,1.60,0.82,1.16,7.17,8
1788597014560,17.7,3.66,1.39,1.24,0.74,7.03,8
1788597014762,17.9,3.56,1.68,1.19,0.79,7.22,8
1788597014965,18.1,3.55,1.88,0.99,0.99,7.40,8
1788597015167,18.3,3.07,1.93,1.19,0.99,7.18,8
1788597015374,18.5,3.09,2.31,1.06,0.05,6.51,8
1788597015576,18.7,3.51,1.44,1.34,0.30,6.58,8
1788597015778,18.9,3.42,1.44,1.09,0.74,6.69,8
1788597015985,19.1,3.19,1.35,1.21,1.69,7.44,8
1788597016189,19.3,2.55,2.26,0.93,2.06,7.81,8
1788597016395,19.5,3.49,1.55,1.12,1.31,7.47,8
1788597016597,19.7,2.92,2.77,0.94,0.84,7.48,8
1788597016799,19.9,3.17,1.44,1.19,1.78,7.57,8
1788597017009,20.1,3.24,1.52,1.38,1.48,7.62,8
1788597017211,20.3,3.02,2.18,1.04,0.94,7.17,8
1788597017416,20.5,3.37,2.10,0.88,1.12,7.47,8
1788597017618,20.7,3.71,1.63,1.29,0.50,7.13,8
1788597017829,20.9,3.46,2.18,1.37,0.09,7.11,8
1788597018034,21.1,3.42,1.81,1.42,0.15,6.78,8
1788597018236,21.3,3.31,2.37,1.23,0.64,7.55,8
1788597018443,21.6,3.19,2.47,1.11,0.00,6.68,8
1788597018645,21.8,3.61,1.58,1.19,0.40,6.77,8
1788597018847,22.0,3.51,1.48,1.48,0.79,7.28,8
1788597019050,22.2,3.21,2.27,0.99,1.43,7.89,8
1788597019252,22.4,3.52,1.88,1.29,0.15,6.84,8
1788597019459,22.6,3.87,1.50,1.11,0.68,7.17,8
1788597019664,22.8,3.35,2.57,1.02,0.63,7.58,8
1788597019866,23.0,3.37,1.68,1.29,1.34,7.67,8
1788597020069,23.2,3.46,1.73,1.24,0.84,7.27,8
1788597020273,23.4,2.88,2.49,0.83,2.10,8.30,8
1788597020491,23.6,3.50,1.75,1.43,0.28,6.95,8
1788597020693,23.8,3.22,2.72,1.29,0.10,7.33,8
1788597020895,24.0,3.51,1.58,1.39,0.35,6.83,8
1788597021097,24.2,3.61,1.93,1.28,0.64,7.46,8
