ts,t,java,k6,postgres,other,total,ncpu
1789299195682,0.2,0.00,0.00,0.00,2.89,2.89,8
1789299195884,0.4,0.00,0.00,0.00,3.22,3.22,8
1789299196086,0.6,0.00,0.00,0.00,3.02,3.02,8
1789299196288,0.8,0.00,0.00,0.00,2.08,2.08,8
1789299196490,1.0,0.05,0.00,0.00,1.94,1.99,8
1789299196694,1.2,0.00,0.00,0.00,3.78,3.78,8
1789299196896,1.4,0.25,0.00,0.05,1.24,1.53,8
1789299197097,1.6,0.50,0.00,0.10,0.99,1.59,8
1789299197299,1.8,0.64,0.00,0.15,0.00,0.69,8
1789299197501,2.0,1.04,0.00,0.35,0.05,1.44,8
1789299197706,2.2,1.07,0.29,0.34,0.00,1.41,8
1789299197908,2.4,1.54,0.20,0.45,0.15,2.33,8
1789299198109,2.6,1.29,0.35,0.35,0.00,1.74,8
1789299198310,2.8,0.70,0.30,0.10,0.00,0.89,8
1789299198513,3.0,1.19,0.45,0.30,0.54,2.47,8
1789299198719,3.2,0.92,0.48,0.19,0.00,1.40,8
1789299198922,3.4,1.14,0.44,0.20,0.25,2.03,8
1789299199123,3.6,1.24,0.45,0.25,0.99,2.92,8
1789299199328,3.8,1.37,0.49,0.34,0.78,2.98,8
1789299199530,4.0,1.19,1.14,0.20,0.25,2.78,8
1789299199735,4.3,1.37,0.63,0.29,0.49,2.78,8
1789299199937,4.5,1.34,0.54,0.40,0.05,2.33,8
1789299200138,4.7,1.19,0.55,0.30,0.00,1.84,8
1789299200340,4.9,1.44,0.54,0.35,0.20,2.53,8
1789299200542,5.1,1.44,0.59,0.45,0.00,2.47,8
1789299200746,5.3,1.67,1.03,0.54,1.77,5.00,8
1789299200949,5.5,1.43,1.08,0.49,1.38,4.39,8
1789299201151,5.7,1.39,0.69,0.30,0.99,3.36,8
1789299201354,5.9,1.58,0.69,0.40,1.58,4.25,8
1789299201557,6.1,1.78,0.69,0.44,1.43,4.34,8
1789299201763,6.3,1.65,1.02,0.49,0.34,3.49,8
1789299201965,6.5,1.63,0.74,0.40,0.10,2.87,8
1789299202167,6.7,1.83,0.74,0.59,0.00,3.17,8
1789299202368,6.9,2.19,1.49,0.45,0.35,4.47,8
1789299202570,7.1,1.64,0.74,0.59,0.00,2.33,8
1789299202775,7.3,1.90,1.07,0.54,0.00,3.36,8
1789299202978,7.5,2.27,0.79,0.59,0.00,3.56,8
1789299203180,7.7,2.07,0.84,0.44,0.00,3.06,8
1789299203382,7.9,1.89,1.39,0.60,0.00,3.58,8
1789299203584,8.1,2.02,0.84,0.54,0.49,3.90,8
1789299203790,8.3,2.04,1.36,0.78,0.00,3.49,8
1789299203992,8.5,2.03,0.84,0.54,0.59,4.01,8
1789299204195,8.7,1.98,1.38,0.44,2.08,5.88,8
1789299204398,8.9,2.11,0.88,0.64,0.93,4.57,8
1789299204600,9.1,2.04,0.89,0.65,0.00,3.08,8
1789299204805,9.3,2.19,1.46,0.87,0.00,4.37,8
1789299205007,9.5,2.48,0.94,0.50,0.55,4.46,8
1789299205209,9.7,2.32,1.58,0.84,0.00,3.96,8
1789299205412,9.9,2.22,0.94,0.44,0.20,3.80,8
1789299205615,10.1,2.32,0.89,0.94,1.28,5.42,8
1789299205825,10.3,2.09,1.47,0.52,2.23,6.32,8
1789299206027,10.5,2.53,1.29,0.94,0.00,4.21,8
1789299206229,10.7,2.23,1.34,0.59,0.40,4.55,8
1789299206432,11.0,2.47,1.04,0.99,0.49,4.98,8
1789299206634,11.2,2.52,1.04,0.59,0.54,4.70,8
1789299206842,11.4,2.31,1.54,0.87,0.10,4.81,8
1789299207044,11.6,3.07,1.83,0.84,0.64,6.40,8
1789299207246,11.8,2.62,1.19,0.84,0.00,4.50,8
1789299207447,12.0,2.63,1.04,0.84,0.10,4.61,8
1789299207650,12.2,2.57,1.19,0.89,1.29,5.94,8
1789299207858,12.4,2.45,2.45,0.96,0.58,6.44,8
1789299208061,12.6,2.41,1.03,0.74,0.84,5.02,8
1789299208263,12.8,2.52,1.14,1.04,0.30,4.99,8
1789299208467,13.0,2.55,1.08,0.79,0.69,5.10,8
1789299208669,13.2,2.48,1.58,0.84,0.00,3.76,8
1789299208877,13.4,2.16,2.02,0.91,1.78,6.86,8
1789299209080,13.6,2.72,1.09,0.74,1.58,6.12,8
1789299209282,13.8,2.67,1.19,0.74,0.05,4.65,8
1789299209486,14.0,2.31,1.96,0.93,0.00,4.86,8
1789299209689,14.2,2.66,1.33,0.79,0.30,5.08,8
1789299209893,14.4,2.93,1.66,1.03,0.00,5.13,8
1789299210096,14.6,2.81,2.02,1.13,0.00,5.77,8
1789299210298,14.8,2.57,1.14,0.99,1.63,6.34,8
1789299210500,15.0,2.68,1.04,0.84,2.58,7.14,8
1789299210702,15.2,2.97,1.53,1.04,0.69,6.23,8
1789299210908,15.4,2.72,2.67,0.82,0.48,6.69,8
1789299211110,15.6,3.07,1.34,1.19,0.00,5.34,8
1789299211312,15.8,3.07,1.34,1.09,0.00,4.85,8
1789299211514,16.0,3.22,1.29,1.04,0.74,6.28,8
1789299211716,16.2,2.97,2.43,1.14,0.00,5.94,8
1789299211922,16.4,2.82,1.90,1.02,1.31,7.06,8
1789299212124,16.6,2.77,2.08,1.19,1.34,7.37,8
1789299212326,16.8,3.46,1.48,1.19,0.00,6.08,8
1789299212529,17.0,3.45,1.38,1.48,0.59,6.90,8
1789299212731,17.2,3.12,1.53,1.14,1.43,7.22,8
1789299212937,17.5,2.82,2.33,1.12,0.29,6.57,8
1789299213139,17.7,3.12,1.69,0.94,0.00,5.70,8
1789299213340,17.9,3.22,1.34,1.14,0.84,6.54,8
1789299213542,18.1,3.08,2.19,1.04,0.30,6.61,8
1789299213745,18.3,3.49,1.82,1.28,0.29,6.87,8
1789299213961,18.5,2.69,1.90,1.07,1.48,7.14,8
1789299214167,18.7,2.96,2.18,0.97,1.02,7.12,8
1789299214369,18.9,3.32,1.48,1.29,0.00,5.89,8
1789299214571,19.1,3.51,1.39,1.39,0.00,6.28,8
1789299214774,19.3,3.17,2.77,1.19,0.00,6.88,8
1789299214984,19.5,3.00,1.71,1.14,0.86,6.71,8
1789299215185,19.7,2.58,2.24,0.89,0.50,6.21,8
1789299215387,19.9,3.41,1.43,1.19,0.00,5.94,8
1789299215590,20.1,3.46,1.48,1.38,0.00,5.68,8
1789299215792,20.3,3.07,2.72,1.09,0.30,7.18,8
1789299215999,20.5,3.37,2.17,1.35,0.00,6.65,8
1789299216202,20.7,2.96,2.51,1.33,0.84,7.64,8
1789299216404,20.9,3.21,2.17,0.89,1.04,7.31,8
1789299216606,21.1,4.26,1.19,1.04,0.54,7.04,8
1789299216808,21.3,4.11,1.88,1.29,0.25,7.53,8
1789299217016,21.5,3.47,1.78,1.25,1.54,8.05,8
1789299217219,21.7,2.95,2.46,1.08,0.89,7.38,8
1789299217422,21.9,3.44,1.82,1.47,0.44,7.17,8
1789299217625,22.1,3.56,1.48,1.29,0.40,6.73,8
1789299217827,22.3,3.27,2.82,1.29,0.00,7.23,8
1789299218034,22.6,3.38,2.27,1.21,0.58,7.43,8
1789299218236,22.8,3.26,2.52,1.33,0.00,6.81,8
1789299218438,23.0,3.82,1.59,1.39,0.35,7.14,8
1789299218640,23.2,3.57,1.58,1.19,0.00,5.30,8
1789299218842,23.4,3.32,2.92,1.39,0.54,8.17,8
1789299219051,23.6,3.16,2.06,1.15,0.81,7.19,8
1789299219253,23.8,2.87,1.93,1.04,1.88,7.72,8
1789299219455,24.0,2.42,1.83,1.04,2.17,7.46,8
1789299219659,24.2,3.89,1.67,1.53,0.20,7.28,8
1789299219860,24.4,3.32,2.68,1.24,0.20,7.43,8
1789299220070,24.6,3.29,2.24,1.38,0.14,7.07,8
1789299220272,24.8,3.41,1.63,1.19,0.05,6.28,8
1789299220474,25.0,3.41,2.47,1.28,0.84,8.01,8
1789299220676,25.2,3.57,1.78,1.29,0.00,5.95,8
1789299220878,25.4,3.56,2.67,1.33,0.35,7.91,8
1789299221089,25.6,3.42,2.14,1.05,0.48,7.08,8
1789299221291,25.8,3.75,1.88,1.73,0.00,7.21,8
1789299221493,26.0,3.27,2.58,1.19,1.09,8.12,8
1789299221697,26.2,4.03,1.72,1.67,0.05,7.47,8
1789299221901,26.4,3.53,2.11,1.37,0.88,7.89,8
1789299222107,26.6,3.10,2.56,1.26,0.05,6.97,8
1789299222309,26.8,3.57,2.03,1.34,0.00,6.59,8
1789299222511,27.0,3.51,2.37,1.04,0.45,7.37,8
1789299222714,27.2,3.80,1.68,1.14,0.00,6.08,8
1789299222915,27.4,3.18,2.93,1.34,0.00,7.40,8
1789299223122,27.6,3.20,2.08,1.31,0.19,6.78,8
1789299223323,27.8,3.27,1.54,1.24,0.99,7.04,8
1789299223526,28.0,3.46,1.39,1.09,0.15,6.09,8
1789299223729,28.2,2.85,2.46,1.03,0.00,6.20,8
1789299223931,28.4,2.91,2.17,1.18,0.00,6.17,8
1789299224138,28.7,2.61,2.03,0.87,0.82,6.33,8
1789299224341,28.9,2.77,1.19,0.94,0.79,5.69,8
1789299224542,29.1,2.67,1.09,0.84,0.00,3.76,8
1789299224746,29.3,2.55,1.57,0.74,0.44,5.30,8
1789299224948,29.5,2.37,2.42,1.04,0.05,5.89,8
1789299225156,29.7,1.78,0.82,0.63,0.72,3.95,8
1789299225357,29.9,1.69,0.74,0.50,0.10,3.03,8
1789299225559,30.1,1.63,0.64,0.45,0.54,3.27,8
1789299225762,30.3,1.43,1.09,0.45,0.89,3.86,8
1789299225964,30.5,1.44,0.59,0.35,0.30,2.67,8
1789299226169,30.7,1.17,0.44,0.34,0.24,2.19,8
1789299226370,30.9,0.94,0.45,0.30,0.84,2.53,8
1789299226572,31.1,0.54,0.30,0.15,0.45,1.44,8
1789299226774,31.3,0.25,1.14,0.00,0.10,1.49,8
1789299226975,31.5,0.00,0.30,0.00,0.15,0.45,8
