ts,t,pool_active,pool_pending,pool_acquire_avg_ms,db_active,db_lock_wait,db_idle_in_tx
1788596998040,1.0,0,0,0.9,6,6,1
1788596999790,2.8,4,0,0.1,0,0,0
1788597001799,4.8,5,0,0.0,0,0,0
1788597003653,6.6,11,0,0.1,0,0,0
1788597005396,8.4,1,0,0.1,1,0,16
1788597007390,10.4,11,0,0.1,0,0,0
1788597009383,12.3,7,0,0.3,0,0,4
1788597011367,14.3,0,0,0.5,1,0,11
1788597013504,16.5,8,0,2.9,0,0,0
1788597016100,19.1,20,19,2.7,0,0,0
1788597018557,21.5,9,0,3.5,0,0,2
1788597021162,24.1,6,0,14.1,0,0,14
1788597024632,27.6,0,0,10.0,0,0,3
1788597027416,30.4,0,0,1.8,0,0,0
1788597028997,32.0,0,0,0.0,0,0,0
1788597030534,33.5,0,0,0,0,0,0
1788597032074,35.0,0,0,0,0,0,0
