bin_start_ms,t,count,p50_ms,p95_ms,max_ms,non2xx4xx
1788596998000,0.0,1,23.7,23.7,23.7,0
1788596998100,0.1,3,15.2,16.8,16.8,0
1788596998200,0.2,4,19.9,21.2,21.2,0
1788596998300,0.3,6,13.3,18.2,18.2,0
1788596998400,0.4,9,20.2,29.4,29.4,0
1788596998500,0.5,9,29.4,45.6,45.6,0
1788596998600,0.6,10,72.1,188.1,188.1,0
1788596998700,0.7,8,90.3,830.0,830.0,0
1788596998800,0.8,9,86.5,705.6,705.6,0
1788596998900,0.9,11,36.0,587.6,587.6,0
1788596999000,1.0,10,50.9,456.5,456.5,0
1788596999100,1.1,11,76.9,422.0,422.0,0
1788596999200,1.2,10,33.8,322.7,322.7,0
1788596999300,1.3,11,40.4,206.6,206.6,0
1788596999400,1.4,11,61.5,134.8,134.8,0
1788596999500,1.5,11,3.3,11.4,11.4,0
1788596999600,1.6,33,3.3,5.6,7.0,0
1788596999700,1.7,34,3.0,5.2,6.7,0
1788596999800,1.8,37,19.8,35.7,45.2,0
1788596999900,1.9,38,10.6,18.6,19.6,0
1788597000000,2.0,41,6.4,15.5,18.4,0
1788597000100,2.1,30,4.0,7.9,9.5,0
1788597000200,2.2,41,4.4,7.2,7.7,0
1788597000300,2.3,36,4.2,9.7,11.7,0
1788597000400,2.4,47,3.4,6.7,7.2,0
1788597000500,2.5,51,4.4,8.9,14.3,0
1788597000600,2.6,53,4.5,11.2,13.3,0
1788597000700,2.7,55,3.6,10.9,13.6,0
1788597000800,2.8,55,4.5,12.6,25.0,0
1788597000900,2.9,59,2.8,5.9,6.8,0
1788597001000,3.0,60,3.0,8.0,10.0,0
1788597001100,3.1,63,2.7,4.2,5.8,0
1788597001200,3.2,62,3.4,7.2,8.1,0
1788597001300,3.3,65,2.8,4.8,7.9,0
1788597001400,3.4,66,2.5,4.7,20.1,0
1788597001500,3.5,68,2.7,4.5,5.0,0
1788597001600,3.6,70,3.8,9.2,11.1,0
1788597001700,3.7,66,2.5,5.2,6.1,0
1788597001800,3.8,74,3.0,8.7,16.4,0
1788597001900,3.9,68,3.5,6.8,9.5,0
1788597002000,4.0,78,3.1,5.2,5.7,0
1788597002100,4.1,83,3.1,7.0,10.7,0
1788597002200,4.2,82,2.9,12.4,21.6,0
1788597002300,4.3,78,9.9,22.7,24.6,0
1788597002400,4.4,86,4.2,13.5,14.8,0
1788597002500,4.5,88,3.7,11.3,16.1,0
1788597002600,4.6,91,3.2,6.9,9.2,0
1788597002700,4.7,93,2.5,4.6,5.7,0
1788597002800,4.8,96,2.9,4.4,6.6,0
1788597002900,4.9,98,2.8,5.2,8.3,0
1788597003000,5.0,100,2.4,3.1,6.0,0
1788597003100,5.1,93,9.5,27.7,57.3,0
1788597003200,5.2,101,2.7,7.2,10.7,0
1788597003300,5.3,88,2.1,4.9,5.3,0
1788597003400,5.4,95,2.3,3.8,4.7,0
1788597003500,5.5,109,6.0,14.2,23.8,0
1788597003600,5.6,106,3.2,5.2,6.8,0
1788597003700,5.7,100,2.6,6.5,8.6,0
1788597003800,5.8,116,3.2,6.7,14.0,0
1788597003900,5.9,119,4.1,9.6,15.4,0
1788597004000,6.0,121,3.6,8.4,15.3,0
1788597004100,6.1,119,9.4,41.5,58.6,0
1788597004200,6.2,105,4.8,9.9,12.4,0
1788597004300,6.3,108,3.4,7.4,9.3,0
1788597004400,6.4,118,2.3,4.2,7.0,0
1788597004500,6.5,131,2.4,5.2,15.2,0
1788597004600,6.6,133,2.7,4.9,6.7,0
1788597004700,6.7,132,3.4,7.2,12.7,0
1788597004800,6.8,133,2.3,3.9,6.0,0
1788597004900,6.9,139,2.7,5.7,8.2,0
1788597005000,7.0,141,2.1,7.2,8.9,0
1788597005100,7.1,143,2.5,6.7,9.8,0
1788597005200,7.2,145,2.1,4.5,5.5,0
1788597005300,7.3,146,3.2,12.8,36.1,0
1788597005400,7.4,148,3.8,13.1,20.3,0
1788597005500,7.5,130,4.1,11.9,13.8,0
1788597005600,7.6,130,4.7,15.5,28.9,0
1788597005700,7.7,145,3.5,9.0,18.1,0
1788597005800,7.8,146,6.0,13.0,19.0,0
1788597005900,7.9,159,7.2,23.5,26.4,0
1788597006000,8.0,156,4.6,17.2,23.2,0
1788597006100,8.1,128,3.5,9.3,17.7,0
1788597006200,8.2,165,2.9,7.7,10.9,0
1788597006300,8.3,163,4.6,12.1,20.1,0
1788597006400,8.4,168,2.7,14.6,31.2,0
1788597006500,8.5,165,2.3,4.9,15.3,0
1788597006600,8.6,166,2.2,4.1,6.3,0
1788597006700,8.7,163,2.4,11.8,16.0,0
1788597006800,8.8,169,3.8,13.6,20.7,0
1788597006900,8.9,169,2.9,8.1,14.2,0
1788597007000,9.0,163,3.5,7.8,12.7,0
1788597007100,9.1,179,2.3,3.8,5.8,0
1788597007200,9.2,184,2.0,3.5,5.0,0
1788597007300,9.3,186,2.3,4.6,9.7,0
1788597007400,9.4,179,3.9,16.3,23.3,0
1788597007500,9.5,166,3.0,8.0,10.1,0
1788597007600,9.6,191,3.4,8.0,10.1,0
1788597007700,9.7,189,4.0,15.1,20.1,0
1788597007800,9.8,192,4.0,13.1,21.8,0
1788597007900,9.9,182,5.9,22.0,27.9,0
1788597008000,10.0,188,4.2,10.9,14.6,0
1788597008100,10.1,198,2.9,6.6,12.3,0
1788597008200,10.2,205,6.1,17.3,25.8,0
1788597008300,10.3,197,2.9,7.6,12.0,0
1788597008400,10.4,191,3.0,13.8,24.1,0
1788597008500,10.5,175,2.2,12.3,14.9,0
1788597008600,10.6,199,2.4,6.7,8.5,0
1788597008700,10.7,207,3.0,18.8,32.5,0
1788597008800,10.8,190,6.3,19.1,27.6,0
1788597008900,10.9,219,4.0,11.1,19.0,0
1788597009000,11.0,221,3.0,12.4,22.2,0
1788597009100,11.1,213,8.1,20.7,26.4,0
1788597009200,11.2,222,2.9,7.0,9.2,0
1788597009300,11.3,224,3.3,10.7,15.0,0
1788597009400,11.4,196,2.6,8.6,11.6,0
1788597009500,11.5,210,3.1,10.9,13.8,0
1788597009600,11.6,225,3.2,20.7,23.5,0
1788597009700,11.7,206,3.1,14.5,18.1,0
1788597009800,11.8,224,3.7,11.1,15.9,0
1788597009900,11.9,225,4.7,12.3,15.6,0
1788597010000,12.0,239,5.7,15.3,24.4,0
1788597010100,12.1,236,4.9,19.7,27.1,0
