bin_start_ms,t,count,p50_ms,p95_ms,max_ms,non2xx4xx
1789299196700,0.0,1,31.9,31.9,31.9,0
1789299196800,0.1,2,11.3,12.2,12.2,0
1789299196900,0.2,5,10.7,15.1,15.1,0
1789299197000,0.3,7,14.8,24.6,24.6,0
1789299197100,0.4,7,12.3,20.5,20.5,0
1789299197200,0.5,10,13.4,23.0,23.0,0
1789299197300,0.6,10,21.0,36.4,36.4,0
1789299197400,0.7,12,37.3,53.9,56.4,0
1789299197500,0.8,13,29.4,408.7,422.9,0
1789299197600,0.9,13,26.1,308.3,328.5,0
1789299197700,1.0,13,26.8,182.5,271.8,0
1789299197800,1.1,13,26.2,125.0,176.5,0
1789299197900,1.2,13,23.6,73.7,88.7,0
1789299198000,1.3,16,2.7,3.2,3.3,0
1789299198100,1.4,26,2.9,3.3,3.8,0
1789299198200,1.5,30,2.3,3.0,4.0,0
1789299198300,1.6,33,2.7,3.7,4.0,0
1789299198400,1.7,35,3.2,4.0,4.3,0
1789299198500,1.8,36,2.6,3.2,3.5,0
1789299198600,1.9,39,2.7,3.5,4.0,0
1789299198700,2.0,39,2.4,3.0,3.2,0
1789299198800,2.1,42,2.6,3.2,3.2,0
1789299198900,2.2,44,2.6,3.3,3.8,0
1789299199000,2.3,45,2.6,3.3,4.2,0
1789299199100,2.4,49,2.7,6.4,6.4,0
1789299199200,2.5,48,2.9,8.5,9.9,0
1789299199300,2.6,52,2.5,3.1,4.0,0
1789299199400,2.7,55,2.3,13.5,24.1,0
1789299199500,2.8,55,2.2,5.3,7.5,0
1789299199600,2.9,56,2.3,2.9,3.7,0
1789299199700,3.0,59,2.3,3.4,3.5,0
1789299199800,3.1,63,2.3,2.9,3.0,0
1789299199900,3.2,65,2.4,3.1,4.2,0
1789299200000,3.3,64,2.2,3.0,3.4,0
1789299200100,3.4,67,2.4,3.5,4.7,0
1789299200200,3.5,71,2.3,3.5,4.4,0
1789299200300,3.6,70,2.8,5.0,5.5,0
1789299200400,3.7,65,2.2,3.7,3.9,0
1789299200500,3.8,73,2.1,2.8,4.0,0
1789299200600,3.9,77,3.1,14.1,27.9,0
1789299200700,4.0,64,3.9,6.1,11.4,0
1789299200800,4.1,83,2.6,6.5,9.5,0
1789299200900,4.2,85,3.0,11.5,13.7,0
1789299201000,4.3,87,2.5,4.4,5.4,0
1789299201100,4.4,85,2.8,5.4,9.2,0
1789299201200,4.5,90,2.2,3.5,4.3,0
1789299201300,4.6,93,2.7,4.0,9.1,0
1789299201400,4.7,90,2.5,5.5,7.5,0
1789299201500,4.8,93,2.3,4.7,9.3,0
1789299201600,4.9,99,2.8,6.4,10.9,0
1789299201700,5.0,98,2.0,2.8,3.8,0
1789299201800,5.1,103,2.2,6.4,8.6,0
1789299201900,5.2,100,2.1,4.7,6.0,0
1789299202000,5.3,106,2.4,3.9,5.3,0
1789299202100,5.4,98,2.7,15.7,22.1,0
1789299202200,5.5,98,2.2,5.6,8.8,0
1789299202300,5.6,103,2.7,9.1,11.7,0
1789299202400,5.7,115,2.0,2.7,3.3,0
1789299202500,5.8,117,2.0,3.3,3.9,0
1789299202600,5.9,118,2.5,5.5,7.1,0
1789299202700,6.0,117,2.0,4.2,6.2,0
1789299202800,6.1,121,2.3,5.2,7.8,0
1789299202900,6.2,111,2.1,3.3,8.3,0
1789299203000,6.3,122,2.3,5.7,8.8,0
1789299203100,6.4,128,2.0,3.0,4.8,0
1789299203200,6.5,131,2.0,4.4,12.3,0
1789299203300,6.6,130,2.4,5.9,9.9,0
1789299203400,6.7,128,2.2,4.7,5.4,0
1789299203500,6.8,129,2.4,3.9,4.9,0
1789299203600,6.9,134,2.9,9.4,14.2,0
1789299203700,7.0,140,2.2,4.7,8.5,0
1789299203800,7.1,143,2.2,5.8,9.9,0
1789299203900,7.2,142,2.3,4.0,9.8,0
1789299204000,7.3,142,2.8,9.6,33.5,0
1789299204100,7.4,147,2.3,8.3,11.4,0
1789299204200,7.5,150,2.1,7.1,8.7,0
1789299204300,7.6,151,2.3,5.6,10.4,0
1789299204400,7.7,155,2.0,3.4,4.1,0
1789299204500,7.8,133,2.7,6.3,10.4,0
1789299204600,7.9,145,2.9,7.4,9.0,0
1789299204700,8.0,156,2.3,7.8,11.5,0
1789299204800,8.1,163,2.3,5.3,8.0,0
1789299204900,8.2,159,2.4,10.8,17.5,0
1789299205000,8.3,150,2.2,5.1,8.4,0
1789299205100,8.4,160,2.6,12.4,31.8,0
1789299205200,8.5,164,2.2,4.9,7.5,0
1789299205300,8.6,173,2.9,7.6,11.6,0
1789299205400,8.7,169,2.4,6.0,7.3,0
1789299205500,8.8,171,3.8,10.4,19.0,0
1789299205600,8.9,178,6.1,18.9,26.2,0
1789299205700,9.0,157,2.9,6.4,8.1,0
1789299205800,9.1,167,2.5,5.3,8.4,0
1789299205900,9.2,174,3.4,9.1,16.0,0
1789299206000,9.3,177,2.7,12.2,13.8,0
1789299206100,9.4,184,2.0,4.8,8.8,0
1789299206200,9.5,174,2.7,6.1,11.7,0
1789299206300,9.6,189,3.9,11.3,16.7,0
1789299206400,9.7,184,2.4,6.2,17.7,0
1789299206500,9.8,197,2.7,5.4,8.3,0
1789299206600,9.9,199,3.4,7.6,9.9,0
1789299206700,10.0,200,2.4,5.7,9.5,0
1789299206800,10.1,195,3.5,22.5,37.3,0
1789299206900,10.2,188,26.2,45.7,63.1,0
1789299207000,10.3,141,3.2,6.5,9.8,0
1789299207100,10.4,203,3.0,7.4,10.5,0
1789299207200,10.5,195,2.3,4.8,6.9,0
1789299207300,10.6,206,2.9,12.3,15.0,0
1789299207400,10.7,210,3.6,15.1,19.8,0
1789299207500,10.8,214,3.1,9.5,14.0,0
